transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
860,11/04/2022,08:58:00,85.00,Male,63,Clothing,4,50,16.00,200.00
1860,12/03/2022,11:21:00,57.00,Male,63,Clothing,4,50,18.00,200.00
184,13/02/2022,06:44:00,128.00,Male,31,Electronics,4,50,17.00,200.00
734,12/03/2022,08:54:00,77.00,Female,27,Clothing,1,30,15.60,30.00
1184,12/02/2022,08:28:00,23.00,Male,31,Electronics,4,50,27.50,200.00
1734,28/02/2022,08:58:00,72.00,Female,27,Clothing,1,30,14.40,30.00
225,05/03/2022,07:37:00,85.00,Female,57,Beauty,4,25,12.75,100.00
679,26/08/2022,08:59:00,64.00,Female,18,Beauty,,,,
746,05/07/2022,11:33:00,42.00,Female,33,Clothing,,,,
1225,02/02/2022,09:51:00,137.00,Female,57,Beauty,,,,
1679,23/09/2022,08:08:00,71.00,Female,18,Beauty,3,30,15.30,90.00
1746,13/06/2022,07:59:00,88.00,Female,33,Clothing,3,30,10.80,90.00
3,14/06/2022,07:08:00,114.00,Male,50,Electronics,1,30,8.10,30.00
464,06/03/2022,11:13:00,24.00,Male,38,Electronics,2,300,75.00,600.00
484,13/03/2022,07:52:00,135.00,Female,19,Clothing,4,300,75.00,1200.00
591,21/03/2022,08:38:00,94.00,Male,53,Electronics,4,25,6.50,100.00
1003,26/01/2022,07:59:00,80.00,Male,50,Electronics,1,30,15.90,30.00
1464,13/11/2022,10:06:00,80.00,Male,38,Electronics,2,300,126.00,600.00
1484,23/11/2022,09:29:00,22.00,Female,19,Clothing,4,300,147.00,1200.00
1591,29/09/2022,11:00:00,62.00,Male,53,Electronics,4,25,7.00,100.00
21,11/07/2022,07:33:00,59.00,Female,50,Beauty,1,500,275.00,500.00
708,06/04/2022,08:38:00,62.00,Female,43,Beauty,3,300,87.00,900.00
713,16/04/2022,11:43:00,39.00,Male,34,Beauty,3,25,11.25,75.00
768,27/06/2022,06:50:00,58.00,Female,24,Beauty,3,25,10.50,75.00
1021,11/06/2022,10:19:00,44.00,Female,50,Beauty,1,500,155.00,500.00
1708,08/02/2022,07:47:00,41.00,Female,43,Beauty,3,300,162.00,900.00
1713,03/10/2022,10:10:00,90.00,Male,34,Beauty,3,25,10.75,75.00
1768,31/07/2022,09:52:00,85.00,Female,24,Beauty,3,25,8.75,75.00
499,03/04/2022,10:52:00,15.00,Male,46,Beauty,2,30,16.50,60.00
697,25/12/2022,07:52:00,152.00,Male,53,Clothing,1,500,200.00,500.00
831,30/11/2022,11:49:00,149.00,Male,27,Electronics,4,25,13.75,100.00
1499,23/09/2022,09:46:00,3.00,Male,46,Beauty,2,30,11.70,60.00
1697,18/12/2022,08:22:00,54.00,Male,53,Clothing,1,500,265.00,500.00
1831,26/03/2022,10:54:00,80.00,Male,27,Electronics,4,25,6.50,100.00
15,01/07/2022,11:50:00,75.00,Female,42,Electronics,4,500,210.00,2000.00
743,07/08/2022,07:54:00,55.00,Female,34,Beauty,4,500,260.00,2000.00
1015,09/03/2022,11:53:00,94.00,Female,42,Electronics,4,500,200.00,2000.00
1743,26/10/2022,09:37:00,47.00,Female,34,Beauty,4,500,250.00,2000.00
14,18/05/2022,07:11:00,8.00,Male,64,Clothing,4,30,13.20,120.00
103,12/11/2022,10:05:00,33.00,Female,59,Clothing,1,25,10.75,25.00
238,10/05/2022,11:52:00,20.00,Female,39,Beauty,1,500,150.00,500.00
986,01/08/2022,09:35:00,65.00,Female,49,Clothing,2,500,200.00,1000.00
1014,04/02/2022,10:26:00,147.00,Male,64,Clothing,4,30,11.40,120.00
1103,14/02/2022,07:11:00,61.00,Female,59,Clothing,1,25,6.75,25.00
1238,17/09/2022,07:38:00,129.00,Female,39,Beauty,1,500,165.00,500.00
1986,14/09/2022,08:28:00,29.00,Female,49,Clothing,2,500,145.00,1000.00
438,31/08/2022,10:15:00,88.00,Female,42,Clothing,1,30,15.90,30.00
1438,07/01/2022,10:00:00,72.00,Female,42,Clothing,1,30,13.80,30.00
475,12/08/2022,10:39:00,78.00,Male,26,Clothing,3,25,9.00,75.00
505,17/12/2022,07:25:00,86.00,Male,24,Beauty,1,50,19.50,50.00
1475,04/10/2022,07:03:00,132.00,Male,26,Clothing,3,25,10.75,75.00
1505,30/10/2022,08:00:00,98.00,Male,24,Beauty,1,50,14.50,50.00
344,17/07/2022,09:47:00,69.00,Female,42,Beauty,1,30,7.50,30.00
448,19/03/2022,09:36:00,86.00,Female,54,Beauty,2,30,16.20,60.00
742,19/03/2022,06:08:00,37.00,Female,38,Electronics,4,500,195.00,2000.00
1344,18/12/2022,06:12:00,144.00,Female,42,Beauty,1,30,11.10,30.00
1448,16/05/2022,06:28:00,51.00,Female,54,Beauty,2,30,9.30,60.00
1742,22/11/2022,08:25:00,18.00,Female,38,Electronics,4,500,220.00,2000.00
445,14/04/2022,10:48:00,132.00,Female,53,Electronics,1,300,138.00,300.00
787,10/06/2022,10:42:00,25.00,Male,41,Electronics,1,25,13.75,25.00
1445,19/04/2022,06:16:00,31.00,Female,53,Electronics,1,300,129.00,300.00
1787,30/05/2022,07:42:00,104.00,Male,41,Electronics,1,25,10.00,25.00
49,17/09/2022,10:33:00,37.00,Female,54,Electronics,2,500,255.00,1000.00
420,02/01/2022,10:53:00,28.00,Female,22,Clothing,4,500,200.00,2000.00
519,08/04/2022,10:17:00,52.00,Female,36,Electronics,4,30,16.50,120.00
1049,16/05/2022,06:36:00,143.00,Female,54,Electronics,2,500,125.00,1000.00
1420,15/04/2022,07:01:00,138.00,Female,22,Clothing,4,500,205.00,2000.00
1519,08/01/2022,07:35:00,139.00,Female,36,Electronics,4,30,9.30,120.00
64,15/11/2022,06:34:00,7.00,Male,49,Clothing,4,25,8.50,100.00
592,26/12/2022,09:15:00,77.00,Female,46,Beauty,4,500,275.00,2000.00
912,31/10/2022,06:18:00,122.00,Male,51,Beauty,3,50,20.50,150.00
1064,14/04/2022,10:38:00,49.00,Male,49,Clothing,4,25,13.75,100.00
1592,16/03/2022,09:08:00,81.00,Female,46,Beauty,4,500,155.00,2000.00
1912,27/05/2022,07:40:00,146.00,Male,51,Beauty,3,50,22.00,150.00
134,25/08/2022,09:03:00,132.00,Male,49,Electronics,1,50,16.00,50.00
1134,05/08/2022,09:04:00,106.00,Male,49,Electronics,1,50,24.00,50.00
288,02/05/2022,09:59:00,27.00,Male,28,Clothing,4,30,12.00,120.00
323,21/01/2022,08:22:00,97.00,Female,29,Beauty,3,300,150.00,900.00
618,13/10/2022,10:22:00,5.00,Female,27,Beauty,1,50,26.00,50.00
720,08/04/2022,08:50:00,116.00,Female,56,Beauty,3,500,235.00,1500.00
1288,05/04/2022,11:56:00,26.00,Male,28,Clothing,4,30,9.00,120.00
1323,15/08/2022,10:49:00,136.00,Female,29,Beauty,3,300,114.00,900.00
1618,15/09/2022,06:27:00,118.00,Female,27,Beauty,1,50,13.50,50.00
1720,10/10/2022,08:51:00,28.00,Female,56,Beauty,3,500,190.00,1500.00
415,05/01/2022,09:59:00,85.00,Male,53,Clothing,2,30,8.10,60.00
736,18/12/2022,08:30:00,97.00,Male,29,Clothing,4,25,9.75,100.00
929,11/03/2022,10:18:00,40.00,Female,23,Beauty,3,25,10.50,75.00
1415,06/03/2022,07:11:00,146.00,Male,53,Clothing,2,30,15.30,60.00
1736,28/08/2022,08:57:00,87.00,Male,29,Clothing,4,25,10.25,100.00
1929,15/09/2022,06:50:00,62.00,Female,23,Beauty,3,25,12.75,75.00
264,26/12/2022,11:03:00,111.00,Male,47,Clothing,3,300,150.00,900.00
913,12/10/2022,10:52:00,78.00,Male,29,Electronics,3,30,16.50,90.00
940,05/01/2022,08:11:00,46.00,Female,20,Electronics,1,30,9.60,30.00
1264,27/05/2022,09:23:00,82.00,Male,47,Clothing,3,300,123.00,900.00
1913,23/06/2022,07:10:00,101.00,Male,29,Electronics,3,30,14.10,90.00
1940,15/06/2022,09:47:00,56.00,Female,20,Electronics,1,30,11.10,30.00
101,08/01/2022,08:46:00,24.00,Male,32,Clothing,2,300,135.00,600.00
1101,17/05/2022,07:47:00,15.00,Male,32,Clothing,2,300,132.00,600.00
189,02/01/2022,09:44:00,143.00,Male,63,Beauty,1,50,14.50,50.00
317,04/05/2022,07:54:00,117.00,Male,22,Electronics,3,30,12.00,90.00
322,19/10/2022,06:11:00,13.00,Male,51,Electronics,1,500,125.00,500.00
329,27/10/2022,07:42:00,52.00,Female,46,Electronics,4,25,8.00,100.00
1189,07/12/2022,06:08:00,104.00,Male,63,Beauty,1,50,20.50,50.00
1317,25/08/2022,08:02:00,144.00,Male,22,Electronics,3,30,12.00,90.00
1322,14/11/2022,09:56:00,10.00,Male,51,Electronics,1,500,250.00,500.00
1329,27/01/2022,10:39:00,119.00,Female,46,Electronics,4,25,9.25,100.00
235,10/03/2022,10:13:00,132.00,Female,23,Electronics,2,500,275.00,1000.00
300,08/01/2022,09:41:00,138.00,Female,19,Electronics,4,50,26.50,200.00
964,26/08/2022,08:18:00,15.00,Male,24,Clothing,3,300,156.00,900.00
1235,04/04/2022,06:44:00,87.00,Female,23,Electronics,2,500,220.00,1000.00
1300,08/08/2022,08:57:00,7.00,Female,19,Electronics,4,50,24.00,200.00
1964,02/08/2022,08:27:00,115.00,Male,24,Clothing,3,300,111.00,900.00
269,19/09/2022,11:31:00,87.00,Male,25,Clothing,4,500,250.00,2000.00
320,20/04/2022,08:35:00,57.00,Female,28,Electronics,4,300,159.00,1200.00
673,04/07/2022,10:14:00,18.00,Female,43,Clothing,3,500,270.00,1500.00
1269,01/01/2022,08:09:00,71.00,Male,25,Clothing,4,500,145.00,2000.00
1320,02/11/2022,11:55:00,102.00,Female,28,Electronics,4,300,84.00,1200.00
1673,14/06/2022,07:36:00,42.00,Female,43,Clothing,3,500,185.00,1500.00
142,08/04/2022,10:05:00,61.00,Male,35,Electronics,4,300,138.00,1200.00
223,15/01/2022,11:18:00,61.00,Female,64,Clothing,1,25,12.00,25.00
666,03/03/2022,10:59:00,49.00,Male,51,Electronics,3,50,16.00,150.00
1142,09/11/2022,09:49:00,2.00,Male,35,Electronics,4,300,114.00,1200.00
1223,20/02/2022,07:40:00,106.00,Female,64,Clothing,1,25,9.75,25.00
1666,08/12/2022,10:10:00,125.00,Male,51,Electronics,3,50,21.00,150.00
107,06/10/2022,09:18:00,75.00,Female,21,Clothing,4,300,78.00,1200.00
933,19/09/2022,07:53:00,81.00,Male,22,Beauty,1,30,12.90,30.00
1107,31/12/2022,11:14:00,62.00,Female,21,Clothing,4,300,102.00,1200.00
1933,12/01/2022,11:04:00,121.00,Male,22,Beauty,1,30,14.40,30.00
237,11/04/2022,08:54:00,105.00,Female,50,Beauty,2,500,165.00,1000.00
335,02/02/2022,09:23:00,2.00,Female,47,Beauty,4,30,10.80,120.00
1237,23/02/2022,09:20:00,48.00,Female,50,Beauty,2,500,215.00,1000.00
1335,27/05/2022,08:45:00,117.00,Female,47,Beauty,4,30,8.70,120.00
63,03/02/2022,11:49:00,127.00,Male,57,Electronics,2,25,6.25,50.00
195,14/08/2022,11:51:00,10.00,Male,52,Clothing,1,30,9.30,30.00
333,06/10/2022,08:15:00,21.00,Female,54,Electronics,4,300,99.00,1200.00
379,01/06/2022,07:28:00,76.00,Female,47,Clothing,1,25,8.50,25.00
490,27/01/2022,06:07:00,43.00,Male,34,Clothing,3,50,18.50,150.00
530,01/05/2022,07:52:00,8.00,Female,18,Electronics,4,30,9.00,120.00
740,01/12/2022,06:58:00,33.00,Female,25,Beauty,4,50,13.00,200.00
793,27/05/2022,10:53:00,1.00,Male,54,Beauty,1,30,14.70,30.00
1063,04/08/2022,10:26:00,56.00,Male,57,Electronics,2,25,11.00,50.00
1195,21/09/2022,07:07:00,55.00,Male,52,Clothing,1,30,12.00,30.00
1333,01/11/2022,11:38:00,151.00,Female,54,Electronics,4,300,165.00,1200.00
1379,02/01/2022,06:23:00,69.00,Female,47,Clothing,1,25,7.25,25.00
1490,26/10/2022,07:15:00,155.00,Male,34,Clothing,3,50,17.00,150.00
1530,10/12/2022,08:17:00,93.00,Female,18,Electronics,4,30,12.30,120.00
1740,16/07/2022,06:01:00,66.00,Female,25,Beauty,4,50,27.00,200.00
1793,11/12/2022,06:05:00,88.00,Male,54,Beauty,1,30,10.80,30.00
85,03/09/2022,08:05:00,68.00,Male,31,Clothing,3,50,19.00,150.00
232,12/08/2022,07:14:00,150.00,Female,43,Beauty,1,25,12.75,25.00
240,05/11/2022,11:49:00,95.00,Female,23,Beauty,1,300,123.00,300.00
993,07/09/2022,09:21:00,134.00,Female,48,Electronics,3,50,17.00,150.00
1085,12/08/2022,09:29:00,76.00,Male,31,Clothing,3,50,17.00,150.00
1232,23/05/2022,08:05:00,146.00,Female,43,Beauty,1,25,6.25,25.00
1240,07/08/2022,07:42:00,144.00,Female,23,Beauty,1,300,90.00,300.00
1993,29/12/2022,11:53:00,123.00,Female,48,Electronics,3,50,26.50,150.00
366,29/10/2022,09:32:00,116.00,Male,57,Clothing,2,50,17.50,100.00
372,19/06/2022,11:45:00,27.00,Female,24,Beauty,3,500,140.00,1500.00
596,12/02/2022,08:44:00,87.00,Female,64,Electronics,1,300,93.00,300.00
936,05/01/2022,10:51:00,143.00,Male,57,Beauty,4,50,19.50,200.00
1366,01/01/2022,11:34:00,25.00,Male,57,Clothing,2,50,23.50,100.00
1372,18/03/2022,10:53:00,60.00,Female,24,Beauty,3,500,145.00,1500.00
1596,28/03/2022,06:22:00,7.00,Female,64,Electronics,1,300,141.00,300.00
1936,19/06/2022,11:32:00,60.00,Male,57,Beauty,4,50,12.50,200.00
284,12/11/2022,09:17:00,129.00,Male,43,Clothing,4,50,20.50,200.00
434,26/10/2022,06:09:00,50.00,Female,43,Electronics,2,25,8.25,50.00
775,06/05/2022,11:07:00,98.00,Female,46,Electronics,4,25,9.50,100.00
977,26/07/2022,08:35:00,46.00,Female,35,Electronics,3,25,13.75,75.00
1284,16/12/2022,11:43:00,145.00,Male,43,Clothing,4,50,18.00,200.00
1434,04/02/2022,10:02:00,147.00,Female,43,Electronics,2,25,7.00,50.00
1775,18/12/2022,08:04:00,78.00,Female,46,Electronics,4,25,13.75,100.00
1977,05/08/2022,10:46:00,63.00,Female,35,Electronics,3,25,12.00,75.00
649,21/06/2022,08:17:00,44.00,Female,58,Clothing,2,300,135.00,600.00
1649,21/10/2022,07:44:00,72.00,Female,58,Clothing,2,300,75.00,600.00
54,20/10/2022,10:17:00,142.00,Female,38,Electronics,3,500,200.00,1500.00
68,15/12/2022,09:06:00,146.00,Male,25,Electronics,1,300,84.00,300.00
192,08/11/2022,08:05:00,134.00,Male,62,Beauty,2,50,13.00,100.00
1054,10/01/2022,09:24:00,49.00,Female,38,Electronics,3,500,140.00,1500.00
1068,14/09/2022,10:11:00,136.00,Male,25,Electronics,1,300,111.00,300.00
1192,29/03/2022,08:41:00,37.00,Male,62,Beauty,2,50,20.50,100.00
331,16/08/2022,08:33:00,28.00,Male,28,Electronics,3,30,10.20,90.00
346,05/09/2022,06:54:00,38.00,Male,59,Clothing,2,500,215.00,1000.00
657,29/01/2022,08:53:00,46.00,Male,40,Clothing,1,25,8.00,25.00
732,13/10/2022,08:45:00,136.00,Male,61,Electronics,2,500,250.00,1000.00
972,16/08/2022,11:42:00,139.00,Male,49,Beauty,4,25,6.75,100.00
1331,15/05/2022,09:29:00,36.00,Male,28,Electronics,3,30,13.80,90.00
1346,10/04/2022,10:01:00,112.00,Male,59,Clothing,2,500,130.00,1000.00
1657,09/08/2022,10:05:00,61.00,Male,40,Clothing,1,25,8.00,25.00
1732,25/02/2022,07:05:00,55.00,Male,61,Electronics,2,500,215.00,1000.00
1972,21/12/2022,06:39:00,5.00,Male,49,Beauty,4,25,9.25,100.00
714,29/10/2022,08:50:00,20.00,Female,18,Clothing,1,500,190.00,500.00
1714,23/11/2022,06:07:00,111.00,Female,18,Clothing,1,500,245.00,500.00
193,27/03/2022,10:40:00,55.00,Male,35,Beauty,3,500,180.00,1500.00
577,21/04/2022,11:55:00,45.00,Male,21,Beauty,4,500,215.00,2000.00
848,24/01/2022,10:46:00,15.00,Female,63,Clothing,3,25,9.75,75.00
945,01/10/2022,10:01:00,120.00,Male,30,Beauty,1,25,13.25,25.00
1193,11/05/2022,11:31:00,50.00,Male,35,Beauty,3,500,145.00,1500.00
1577,11/09/2022,06:22:00,145.00,Male,21,Beauty,4,500,160.00,2000.00
1848,27/12/2022,10:16:00,63.00,Female,63,Clothing,3,25,12.50,75.00
1945,19/04/2022,09:55:00,33.00,Male,30,Beauty,1,25,10.75,25.00
11,27/02/2022,10:30:00,151.00,Male,23,Clothing,2,50,23.50,100.00
821,23/11/2022,11:27:00,40.00,Male,49,Electronics,1,300,129.00,300.00
1011,01/04/2022,06:48:00,15.00,Male,23,Clothing,2,50,19.00,100.00
1821,03/10/2022,07:17:00,42.00,Male,49,Electronics,1,300,108.00,300.00
133,23/06/2022,09:01:00,70.00,Male,20,Electronics,3,300,87.00,900.00
1133,05/03/2022,06:42:00,58.00,Male,20,Electronics,3,300,159.00,900.00
16,25/06/2022,10:33:00,82.00,Male,19,Clothing,3,500,180.00,1500.00
42,08/12/2022,08:29:00,63.00,Male,22,Clothing,3,300,147.00,900.00
292,10/10/2022,06:33:00,111.00,Male,20,Beauty,4,300,141.00,1200.00
416,21/08/2022,09:29:00,55.00,Male,53,Electronics,4,500,245.00,2000.00
584,31/12/2022,10:21:00,106.00,Female,27,Beauty,4,50,16.50,200.00
861,30/09/2022,08:57:00,22.00,Female,41,Clothing,3,30,9.60,90.00
1016,12/12/2022,07:39:00,52.00,Male,19,Clothing,3,500,200.00,1500.00
1042,11/02/2022,06:21:00,7.00,Male,22,Clothing,3,300,150.00,900.00
1292,15/05/2022,08:20:00,88.00,Male,20,Beauty,4,300,90.00,1200.00
1416,29/12/2022,10:47:00,111.00,Male,53,Electronics,4,500,125.00,2000.00
1584,03/09/2022,11:07:00,62.00,Female,27,Beauty,4,50,16.50,200.00
1861,04/07/2022,10:41:00,145.00,Female,41,Clothing,3,30,10.20,90.00
256,09/01/2022,08:05:00,3.00,Male,23,Clothing,2,500,270.00,1000.00
1256,05/11/2022,09:58:00,29.00,Male,23,Clothing,2,500,190.00,1000.00
44,03/03/2022,11:07:00,93.00,Female,22,Clothing,1,25,11.75,25.00
257,10/12/2022,08:49:00,130.00,Male,19,Beauty,4,500,165.00,2000.00
1044,20/02/2022,09:08:00,70.00,Female,22,Clothing,1,25,7.50,25.00
1257,10/05/2022,11:55:00,29.00,Male,19,Beauty,4,500,255.00,2000.00
268,14/04/2022,08:26:00,93.00,Female,28,Electronics,1,30,8.70,30.00
287,26/08/2022,11:07:00,88.00,Male,54,Clothing,4,25,10.00,100.00
966,07/11/2022,07:22:00,119.00,Male,60,Electronics,2,500,190.00,1000.00
1268,09/06/2022,09:33:00,15.00,Female,28,Electronics,1,30,14.10,30.00
1287,13/09/2022,08:03:00,120.00,Male,54,Clothing,4,25,7.00,100.00
1966,20/07/2022,09:52:00,74.00,Male,60,Electronics,2,500,200.00,1000.00
70,27/12/2022,10:48:00,147.00,Female,43,Clothing,1,300,84.00,300.00
371,18/12/2022,10:01:00,32.00,Female,20,Beauty,1,25,13.00,25.00
900,10/11/2022,08:41:00,130.00,Male,21,Clothing,2,30,15.60,60.00
1070,14/07/2022,11:12:00,102.00,Female,43,Clothing,1,300,120.00,300.00
1371,06/05/2022,06:52:00,41.00,Female,20,Beauty,1,25,13.50,25.00
1900,21/01/2022,06:43:00,65.00,Male,21,Clothing,2,30,10.80,60.00
8,27/12/2022,11:19:00,148.00,Male,30,Electronics,4,25,11.00,100.00
41,11/10/2022,10:36:00,88.00,Male,34,Clothing,2,25,13.25,50.00
454,12/03/2022,07:20:00,13.00,Female,46,Beauty,1,25,13.00,25.00
780,06/07/2022,11:30:00,107.00,Male,52,Electronics,2,25,13.25,50.00
920,20/08/2022,10:25:00,99.00,Female,28,Beauty,3,25,6.75,75.00
1008,10/01/2022,08:51:00,116.00,Male,30,Electronics,4,25,13.00,100.00
1041,10/05/2022,07:27:00,74.00,Male,34,Clothing,2,25,11.00,50.00
1454,25/06/2022,11:18:00,22.00,Female,46,Beauty,1,25,6.75,25.00
1780,11/12/2022,10:00:00,32.00,Male,52,Electronics,2,25,10.50,50.00
1920,24/10/2022,08:33:00,23.00,Female,28,Beauty,3,25,9.25,75.00
396,15/12/2022,07:11:00,29.00,Female,55,Beauty,1,30,10.80,30.00
1396,07/06/2022,06:23:00,9.00,Female,55,Beauty,1,30,8.40,30.00
168,29/04/2022,09:20:00,138.00,Male,53,Clothing,1,300,102.00,300.00
400,08/03/2022,09:52:00,2.00,Male,53,Clothing,4,50,24.00,200.00
611,21/07/2022,08:13:00,11.00,Male,51,Beauty,3,500,180.00,1500.00
800,19/09/2022,07:33:00,111.00,Male,32,Clothing,4,300,87.00,1200.00
1168,10/07/2022,07:56:00,68.00,Male,53,Clothing,1,300,150.00,300.00
1400,12/09/2022,11:54:00,115.00,Male,53,Clothing,4,50,20.00,200.00
1611,17/11/2022,07:30:00,125.00,Male,51,Beauty,3,500,180.00,1500.00
1800,21/08/2022,10:53:00,1.00,Male,32,Clothing,4,300,111.00,1200.00
272,10/06/2022,11:57:00,112.00,Female,61,Electronics,2,50,27.50,100.00
473,25/09/2022,10:09:00,1.00,Male,64,Beauty,1,50,14.50,50.00
506,29/04/2022,07:13:00,9.00,Male,34,Beauty,3,500,200.00,1500.00
766,04/01/2022,08:02:00,128.00,Male,38,Electronics,3,300,165.00,900.00
1272,14/04/2022,11:59:00,66.00,Female,61,Electronics,2,50,17.00,100.00
1473,19/03/2022,09:06:00,30.00,Male,64,Beauty,1,50,13.00,50.00
1506,09/01/2022,07:31:00,52.00,Male,34,Beauty,3,500,245.00,1500.00
1766,22/11/2022,06:08:00,6.00,Male,38,Electronics,3,300,129.00,900.00
135,18/04/2022,07:22:00,104.00,Male,20,Clothing,2,25,13.00,50.00
1135,14/01/2022,08:16:00,124.00,Male,20,Clothing,2,25,12.50,50.00
2,24/06/2022,10:07:00,104.00,Female,26,Clothing,2,500,135.00,1000.00
158,21/01/2022,11:38:00,141.00,Female,44,Electronics,2,300,132.00,600.00
185,27/06/2022,09:48:00,57.00,Male,24,Clothing,1,25,7.00,25.00
433,29/07/2022,08:48:00,144.00,Male,29,Beauty,4,50,20.00,200.00
1002,02/03/2022,09:24:00,69.00,Female,26,Clothing,2,500,270.00,1000.00
1158,24/02/2022,09:29:00,77.00,Female,44,Electronics,2,300,138.00,600.00
1185,04/10/2022,10:28:00,153.00,Male,24,Clothing,1,25,10.25,25.00
1433,16/01/2022,11:41:00,113.00,Male,29,Beauty,4,50,15.50,200.00
152,16/06/2022,11:58:00,120.00,Male,43,Electronics,4,500,210.00,2000.00
753,06/07/2022,10:07:00,70.00,Female,32,Clothing,1,30,15.90,30.00
763,23/04/2022,09:43:00,58.00,Male,34,Clothing,2,25,11.50,50.00
932,08/10/2022,08:33:00,120.00,Female,45,Beauty,4,25,7.75,100.00
1152,26/12/2022,07:48:00,87.00,Male,43,Electronics,4,500,170.00,2000.00
1753,17/07/2022,07:40:00,28.00,Female,32,Clothing,1,30,10.50,30.00
1763,30/06/2022,11:37:00,93.00,Male,34,Clothing,2,25,13.50,50.00
1932,08/11/2022,07:07:00,96.00,Female,45,Beauty,4,25,6.25,100.00
399,07/12/2022,09:25:00,136.00,Female,64,Beauty,2,30,12.90,60.00
500,14/10/2022,06:11:00,120.00,Female,60,Beauty,4,25,11.50,100.00
514,04/11/2022,08:35:00,139.00,Female,18,Electronics,1,300,96.00,300.00
1399,28/01/2022,09:32:00,15.00,Female,64,Beauty,2,30,16.20,60.00
1500,20/04/2022,08:36:00,53.00,Female,60,Beauty,4,25,8.50,100.00
1514,12/07/2022,10:55:00,59.00,Female,18,Electronics,1,300,75.00,300.00
947,31/07/2022,07:09:00,4.00,Male,50,Beauty,1,300,129.00,300.00
1947,05/03/2022,06:27:00,134.00,Male,50,Beauty,1,300,75.00,300.00
220,07/05/2022,06:44:00,138.00,Male,64,Beauty,1,500,140.00,500.00
339,18/08/2022,10:27:00,33.00,Female,22,Electronics,2,25,10.25,50.00
785,19/10/2022,06:09:00,88.00,Female,31,Beauty,4,50,13.00,200.00
